gene,category,subcategory
BHLHE22,Retinal markers (Lu 2020),Amacrine Cells
ZFHX3,Retinal markers (Lu 2020),Amacrine Cells
TUBB2A,Retinal markers (Lu 2020),Amacrine Cells
STMN2,Retinal markers (Lu 2020),Amacrine Cells
PCDH9,Retinal markers (Lu 2020),Amacrine Cells
NRP1,Retinal markers (Lu 2020),Amacrine Cells
CRMP1,Retinal markers (Lu 2020),Amacrine Cells
NOVA1,Retinal markers (Lu 2020),Amacrine Cells
PBX1,Retinal markers (Lu 2020),Amacrine Cells
MAB21L2,Retinal markers (Lu 2020),Amacrine Cells
NRXN1,Retinal markers (Lu 2020),Amacrine Cells
RBFOX1,Retinal markers (Lu 2020),Amacrine Cells
PLXNA2,Retinal markers (Lu 2020),Amacrine Cells
PARD3,Retinal markers (Lu 2020),Amacrine Cells
GNG3,Retinal markers (Lu 2020),Amacrine Cells
RD3L,Retinal markers (Lu 2020),Amacrine Cells
GRIA4,Retinal markers (Lu 2020),Amacrine Cells
BASP1,Retinal markers (Lu 2020),Amacrine Cells
NHLH2,Retinal markers (Lu 2020),Amacrine Cells
PRDM13,Retinal markers (Lu 2020),Amacrine Cells
GRIA2,Retinal markers (Lu 2020),Amacrine Cells
PCSK1N,Retinal markers (Lu 2020),Amacrine Cells
APLP1,Retinal markers (Lu 2020),Amacrine Cells
DLG2,Retinal markers (Lu 2020),Amacrine Cells
BARHL2,Retinal markers (Lu 2020),Amacrine Cells
PCBP3,Retinal markers (Lu 2020),Amacrine Cells
ZFHX4,Retinal markers (Lu 2020),Amacrine Cells
TUBB3,Retinal markers (Lu 2020),Amacrine Cells
MAB21L1,Retinal markers (Lu 2020),Amacrine Cells
MGARP,Retinal markers (Lu 2020),Amacrine Cells
DCX,Retinal markers (Lu 2020),Amacrine Cells
KIF5C,Retinal markers (Lu 2020),Amacrine Cells
NSG1,Retinal markers (Lu 2020),Amacrine Cells
SLC32A1,Retinal markers (Lu 2020),Amacrine Cells
NRXN2,Retinal markers (Lu 2020),Amacrine Cells
DPYSL2,Retinal markers (Lu 2020),Amacrine Cells
INA,Retinal markers (Lu 2020),Amacrine Cells
HN1,Retinal markers (Lu 2020),Amacrine Cells
FAT3,Retinal markers (Lu 2020),Amacrine Cells
RAB3A,Retinal markers (Lu 2020),Amacrine Cells
PODXL2,Retinal markers (Lu 2020),Amacrine Cells
